Step,AgentID,X,Y,velocity,current_lane
9,5,0.0,50.0,[0.5 0. ],0
9,6,0.0,50.0,[0.5 0. ],0
9,7,0.0,50.0,[0.5 0. ],0
9,8,0.0,50.0,[0.5 0. ],0
9,9,0.0,50.0,[0.5 0. ],0
9,10,4.4,150.0,[0.5 0. ],1
9,11,0.0,150.0,[0.5 0. ],1
9,12,0.0,150.0,[0.5 0. ],1
9,13,0.0,150.0,[0.5 0. ],1
9,14,0.0,150.0,[0.5 0. ],1
9,15,0.0,150.0,[0.5 0. ],1
9,16,0.0,150.0,[0.5 0. ],1
9,17,0.0,150.0,[0.5 0. ],1
9,18,0.0,150.0,[0.5 0. ],1
9,19,0.0,150.0,[0.5 0. ],1
10,0,4.9,50.0,[0.4272 0.    ],0
10,1,0.0,50.0,[0.5 0. ],0
10,2,0.0,50.0,[0.5 0. ],0
10,3,0.0,50.0,[0.5 0. ],0
10,4,0.0,50.0,[0.5 0. ],0
10,5,0.0,50.0,[0.5 0. ],0
10,6,0.0,50.0,[0.5 0. ],0
10,7,0.0,50.0,[0.5 0. ],0
10,8,0.0,50.0,[0.5 0. ],0
10,9,0.0,50.0,[0.5 0. ],0
10,10,4.9,150.0,[0.5 0. ],1
10,11,0.0,150.0,[0.5 0. ],1
10,12,0.0,150.0,[0.5 0. ],1
10,13,0.0,150.0,[0.5 0. ],1
10,14,0.0,150.0,[0.5 0. ],1
10,15,0.0,150.0,[0.5 0. ],1
10,16,0.0,150.0,[0.5 0. ],1
10,17,0.0,150.0,[0.5 0. ],1
10,18,0.0,150.0,[0.5 0. ],1
10,19,0.0,150.0,[0.5 0. ],1
11,0,5.4,50.0,[0.4272 0.    ],0
11,1,0.0,50.0,[0.5 0. ],0
11,2,0.0,50.0,[0.5 0. ],0
11,3,0.0,50.0,[0.5 0. ],0
11,4,0.0,50.0,[0.5 0. ],0
11,5,0.0,50.0,[0.5 0. ],0
11,6,0.0,50.0,[0.5 0. ],0
11,7,0.0,50.0,[0.5 0. ],0
11,8,0.0,50.0,[0.5 0. ],0
11,9,0.0,50.0,[0.5 0. ],0
11,10,5.4,150.0,[0.5 0. ],1
11,11,0.0,150.0,[0.5 0. ],1
11,12,0.0,150.0,[0.5 0. ],1
11,13,0.0,150.0,[0.5 0. ],1
11,14,0.0,150.0,[0.5 0. ],1
11,15,0.0,150.0,[0.5 0. ],1
11,16,0.0,150.0,[0.5 0. ],1
11,17,0.0,150.0,[0.5 0. ],1
11,18,0.0,150.0,[0.5 0. ],1
11,19,0.0,150.0,[0.5 0. ],1
12,0,5.9,50.0,[0.4272 0.    ],0
12,1,0.0,50.0,[0.5 0. ],0
12,2,0.0,50.0,[0.5 0. ],0
12,3,0.0,50.0,[0.5 0. ],0
12,4,0.0,50.0,[0.5 0. ],0
12,5,0.0,50.0,[0.5 0. ],0
12,6,0.0,50.0,[0.5 0. ],0
12,7,0.0,50.0,[0.5 0. ],0
12,8,0.0,50.0,[0.5 0. ],0
12,9,0.0,50.0,[0.5 0. ],0
12,10,5.9,150.0,[0.5 0. ],1
12,11,0.0,150.0,[0.5 0. ],1
12,12,0.0,150.0,[0.5 0. ],1
12,13,0.0,150.0,[0.5 0. ],1
12,14,0.0,150.0,[0.5 0. ],1
12,15,0.0,150.0,[0.5 0. ],1
12,16,0.0,150.0,[0.5 0. ],1
12,17,0.0,150.0,[0.5 0. ],1
12,18,0.0,150.0,[0.5 0. ],1
12,19,0.0,150.0,[0.5 0. ],1
13,0,6.4,50.0,[0.4272 0.    ],0
13,1,0.0,50.0,[0.5 0. ],0
13,2,0.0,50.0,[0.5 0. ],0
13,3,0.0,50.0,[0.5 0. ],0
13,4,0.0,50.0,[0.5 0. ],0
13,5,0.0,50.0,[0.5 0. ],0
13,6,0.0,50.0,[0.5 0. ],0
13,7,0.0,50.0,[0.5 0. ],0
13,8,0.0,50.0,[0.5 0. ],0
13,9,0.0,50.0,[0.5 0. ],0
13,10,6.4,150.0,[0.5 0. ],1
13,11,0.0,150.0,[0.5 0. ],1
13,12,0.0,150.0,[0.5 0. ],1
13,13,0.0,150.0,[0.5 0. ],1
13,14,0.0,150.0,[0.5 0. ],1
13,15,0.0,150.0,[0.5 0. ],1
13,16,0.0,150.0,[0.5 0. ],1
13,17,0.0,150.0,[0.5 0. ],1
13,18,0.0,150.0,[0.5 0. ],1
13,19,0.0,150.0,[0.5 0. ],1
14,0,6.9,50.0,[0.4272 0.    ],0
14,1,0.0,50.0,[0.5 0. ],0
14,2,0.0,50.0,[0.5 0. ],0
14,3,0.0,50.0,[0.5 0. ],0
14,4,0.0,50.0,[0.5 0. ],0
14,5,0.0,50.0,[0.5 0. ],0
14,6,0.0,50.0,[0.5 0. ],0
14,7,0.0,50.0,[0.5 0. ],0
14,8,0.0,50.0,[0.5 0. ],0
14,9,0.0,50.0,[0.5 0. ],0
14,10,6.9,150.0,[0.5 0. ],1
14,11,0.0,150.0,[0.5 0. ],1
14,12,0.0,150.0,[0.5 0. ],1
14,13,0.0,150.0,[0.5 0. ],1
14,14,0.0,150.0,[0.5 0. ],1
14,15,0.0,150.0,[0.5 0. ],1
14,16,0.0,150.0,[0.5 0. ],1
14,17,0.0,150.0,[0.5 0. ],1
14,18,0.0,150.0,[0.5 0. ],1
14,19,0.0,150.0,[0.5 0. ],1
15,0,7.4,50.0,[0.4272 0.    ],0
15,1,0.0,50.0,[0.5 0. ],0
15,2,0.0,50.0,[0.5 0. ],0
15,3,0.0,50.0,[0.5 0. ],0
15,4,0.0,50.0,[0.5 0. ],0
15,5,0.0,50.0,[0.5 0. ],0
15,6,0.0,50.0,[0.5 0. ],0
15,7,0.0,50.0,[0.5 0. ],0
15,8,0.0,50.0,[0.5 0. ],0
15,9,0.0,50.0,[0.5 0. ],0
15,10,7.4,150.0,[0.5 0. ],1
15,11,0.0,150.0,[0.5 0. ],1
15,12,0.0,150.0,[0.5 0. ],1
15,13,0.0,150.0,[0.5 0. ],1
15,14,0.0,150.0,[0.5 0. ],1
15,15,0.0,150.0,[0.5 0. ],1
15,16,0.0,150.0,[0.5 0. ],1
15,17,0.0,150.0,[0.5 0. ],1
15,18,0.0,150.0,[0.5 0. ],1
15,19,0.0,150.0,[0.5 0. ],1
16,0,7.9,50.0,[0.4272 0.    ],0
16,1,0.0,50.0,[0.5 0. ],0
16,2,0.0,50.0,[0.5 0. ],0
16,3,0.0,50.0,[0.5 0. ],0
16,4,0.0,50.0,[0.5 0. ],0
16,5,0.0,50.0,[0.5 0. ],0
16,6,0.0,50.0,[0.5 0. ],0
16,7,0.0,50.0,[0.5 0. ],0
16,8,0.0,50.0,[0.5 0. ],0
16,9,0.0,50.0,[0.5 0. ],0
16,10,7.9,150.0,[0.5 0. ],1
16,11,0.0,150.0,[0.5 0. ],1
16,12,0.0,150.0,[0.5 0. ],1
16,13,0.0,150.0,[0.5 0. ],1
16,14,0.0,150.0,[0.5 0. ],1
16,15,0.0,150.0,[0.5 0. ],1
16,16,0.0,150.0,[0.5 0. ],1
16,17,0.0,150.0,[0.5 0. ],1
16,18,0.0,150.0,[0.5 0. ],1
16,19,0.0,150.0,[0.5 0. ],1
17,0,8.4,50.0,[0.4272 0.    ],0
17,1,0.0,50.0,[0.5 0. ],0
17,2,0.0,50.0,[0.5 0. ],0
17,3,0.0,50.0,[0.5 0. ],0
17,4,0.0,50.0,[0.5 0. ],0
17,5,0.0,50.0,[0.5 0. ],0
17,6,0.0,50.0,[0.5 0. ],0
17,7,0.0,50.0,[0.5 0. ],0
17,8,0.0,50.0,[0.5 0. ],0
17,9,0.0,50.0,[0.5 0. ],0
17,10,8.4,150.0,[0.5 0. ],1
17,11,0.0,150.0,[0.5 0. ],1
17,12,0.0,150.0,[0.5 0. ],1
17,13,0.0,150.0,[0.5 0. ],1
17,14,0.0,150.0,[0.5 0. ],1
17,15,0.0,150.0,[0.5 0. ],1
17,16,0.0,150.0,[0.5 0. ],1
17,17,0.0,150.0,[0.5 0. ],1
17,18,0.0,150.0,[0.5 0. ],1
17,19,0.0,150.0,[0.5 0. ],1
18,0,8.9,50.0,[0.4272 0.    ],0
18,1,0.0,50.0,[0.5 0. ],0
18,2,0.0,50.0,[0.5 0. ],0
18,3,0.0,50.0,[0.5 0. ],0
18,4,0.0,50.0,[0.5 0. ],0
18,5,0.0,50.0,[0.5 0. ],0
18,6,0.0,50.0,[0.5 0. ],0
18,7,0.0,50.0,[0.5 0. ],0
18,8,0.0,50.0,[0.5 0. ],0
18,9,0.0,50.0,[0.5 0. ],0
18,10,8.9,150.0,[0.5 0. ],1
18,11,0.0,150.0,[0.5 0. ],1
18,12,0.0,150.0,[0.5 0. ],1
