Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
13,13,0.0,150.0,[0.5 0. ],1,False
13,14,0.0,150.0,[0.5 0. ],1,False
13,15,0.0,150.0,[0.5 0. ],1,False
13,16,0.0,150.0,[0.5 0. ],1,False
13,17,0.0,150.0,[0.5 0. ],1,False
13,18,0.0,150.0,[0.5 0. ],1,False
13,19,0.0,150.0,[0.5 0. ],1,False
14,0,6.9,50.0,[0.329 0.   ],0,True
14,1,0.0,50.0,[0.5 0. ],0,False
14,2,0.0,50.0,[0.5 0. ],0,False
14,3,0.0,50.0,[0.5 0. ],0,False
14,4,0.0,50.0,[0.5 0. ],0,False
14,5,0.0,50.0,[0.5 0. ],0,False
14,6,0.0,50.0,[0.5 0. ],0,False
14,7,0.0,50.0,[0.5 0. ],0,False
14,8,0.0,50.0,[0.5 0. ],0,False
14,9,0.0,50.0,[0.5 0. ],0,False
14,10,6.9,150.0,[0.412 0.   ],1,True
14,11,0.0,150.0,[0.5 0. ],1,False
14,12,0.0,150.0,[0.5 0. ],1,False
14,13,0.0,150.0,[0.5 0. ],1,False
14,14,0.0,150.0,[0.5 0. ],1,False
14,15,0.0,150.0,[0.5 0. ],1,False
14,16,0.0,150.0,[0.5 0. ],1,False
14,17,0.0,150.0,[0.5 0. ],1,False
14,18,0.0,150.0,[0.5 0. ],1,False
14,19,0.0,150.0,[0.5 0. ],1,False
15,0,7.4,50.0,[0.329 0.   ],0,True
15,1,0.0,50.0,[0.5 0. ],0,False
15,2,0.0,50.0,[0.5 0. ],0,False
15,3,0.0,50.0,[0.5 0. ],0,False
15,4,0.0,50.0,[0.5 0. ],0,False
15,5,0.0,50.0,[0.5 0. ],0,False
15,6,0.0,50.0,[0.5 0. ],0,False
15,7,0.0,50.0,[0.5 0. ],0,False
15,8,0.0,50.0,[0.5 0. ],0,False
15,9,0.0,50.0,[0.5 0. ],0,False
15,10,7.4,150.0,[0.412 0.   ],1,True
15,11,0.0,150.0,[0.5 0. ],1,False
15,12,0.0,150.0,[0.5 0. ],1,False
15,13,0.0,150.0,[0.5 0. ],1,False
